X [ m ], Y [ m ], Z [ m ]
0.0182326343,-0.0172775611,-0.48142004
0.0182255767,-0.0177547764,-0.481511652
0.0182677396,-0.0176650435,-0.481307417
0.0181412492,-0.0167095196,-0.481767982
0.0181440245,-0.0171128213,-0.481805325
0.0181690864,-0.0179694295,-0.48179701
0.0181189161,-0.0175448768,-0.481974095
0.0182002224,-0.01878074,-0.481755227
0.0182005223,-0.0183319952,-0.481698126
0.0179624464,-0.0166974217,-0.4825854
0.0180657655,-0.0168391634,-0.482129842
0.0180645362,-0.0171894114,-0.482178986
0.0180848502,-0.0179820731,-0.48218441
0.0180181265,-0.0175563991,-0.482437104
0.0180232245,-0.0188490078,-0.482574403
0.0181358308,-0.018739095,-0.482045025
0.0179728139,-0.0168922786,-0.482562125
0.0178636312,-0.0175665151,-0.483146042
0.0179291517,-0.0171422139,-0.482793123
0.0180006605,-0.0180418324,-0.482577443
0.0180410296,-0.0184700061,-0.482445717
0.0179358888,-0.0176709294,-0.482827961
0.0179625247,-0.018609494,-0.482822597
0.0178901311,-0.0181529913,-0.483097494
0.0182804558,-0.0172764994,-0.481430739
0.0183778275,-0.0172757115,-0.481454015
0.0185742937,-0.0172755606,-0.481499225
0.0188702829,-0.0172739513,-0.481556714
0.0191459265,-0.017271338,-0.481603235
0.0194688719,-0.017268125,-0.481655061
0.0197562687,-0.0172657873,-0.481700659
0.0200911835,-0.0172651056,-0.481755465
0.0203916691,-0.0172672961,-0.481806934
0.020689521,-0.0172729325,-0.481859267
0.0209580604,-0.0172821879,-0.481906325
0.0213425346,-0.0173051655,-0.481970936
0.0216752551,-0.0173372161,-0.482022732
0.0220117718,-0.0173834544,-0.482070953
0.0223482829,-0.0174435582,-0.482116401
0.022681661,-0.0175182018,-0.482160449
0.0230108444,-0.0176091231,-0.482204854
0.0233335532,-0.0177183952,-0.482251376
0.0236515924,-0.0178474206,-0.482301831
0.0239661299,-0.0179960784,-0.482356906
0.0242669173,-0.0181607176,-0.482414782
0.0245550256,-0.0183425322,-0.482476443
0.0248291623,-0.0185399223,-0.482543975
0.0250910372,-0.018754568,-0.482619703
0.0253445394,-0.0189893227,-0.482707322
0.0255734641,-0.0192250498,-0.482801348
0.0257969182,-0.0194716956,-0.482907981
0.0260078851,-0.0197188631,-0.483023137
0.026213076,-0.0199694317,-0.483148247
0.0263996571,-0.020198008,-0.483269185
0.0265953131,-0.0204404946,-0.483401626
0.0267932992,-0.0206880644,-0.483540744
0.027005367,-0.0209535621,-0.483694077
0.0272007529,-0.0211979523,-0.483838826
0.0273993351,-0.02144452,-0.483989656
0.0275945216,-0.0216853209,-0.484141529
0.0277927425,-0.0219322201,-0.484298378
0.0279862769,-0.0221825112,-0.484452695
0.0281825941,-0.0224542338,-0.484604865
0.0283607412,-0.0227258354,-0.484729499
0.0285282973,-0.0230118632,-0.484822452
0.0286841076,-0.0233111437,-0.484875411
0.0288259238,-0.0236194711,-0.484884262
0.0289500188,-0.0239313897,-0.484851509
0.0290452559,-0.0242233146,-0.484793484
0.0291178375,-0.0245372504,-0.484717816
0.0291493367,-0.0248210505,-0.484651744
0.0291510075,-0.0249146037,-0.484631747
0.0291387774,-0.0250903964,-0.484598786
0.0291011129,-0.0252679735,-0.484572589
0.0290296972,-0.0254428796,-0.484555185
0.0290036183,-0.0254881196,-0.484552145
0.0289439298,-0.0255717263,-0.484548151
0.028793633,-0.025708206,-0.484545976
0.0287232473,-0.0257525146,-0.484546334
0.0285602566,-0.0258241054,-0.484546751
0.0282787234,-0.0258910432,-0.484538913
0.0279864501,-0.02592206,-0.484513402
0.0276609436,-0.0259369351,-0.48445648
0.02751779,-0.0259410646,-0.484416783
0.027353676,-0.0259438995,-0.484355956
0.0272327662,-0.0259456206,-0.484298378
0.0270222761,-0.025948666,-0.484160721
0.0268455688,-0.025957169,-0.483979344
0.0267848,-0.0259640254,-0.483888119
0.0266922694,-0.0259883385,-0.483686954
0.0266388636,-0.0260407105,-0.483434081
0.0266397037,-0.0261041857,-0.483233064
0.0266659129,-0.0261717644,-0.483080059
0.0267142113,-0.026254395,-0.482942045
0.0267451257,-0.0262987055,-0.482883513
0.026823096,-0.0263989419,-0.482777864
0.0268831272,-0.0264689531,-0.482720077
0.0270265155,-0.0266236831,-0.482623965
0.0271939859,-0.0267881118,-0.482555181
0.0274131186,-0.0269844234,-0.482502878
