[Name]
Velocity

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
0.0182326343,-0.0172775611,-0.48142004,0.16878295066559917,0.16471271216869354,-0.011691302061080933,-0.03493880853056908
0.0182255767,-0.0177547764,-0.481511652,0.1647295977593511,0.1607547253370285,-0.014235477894544601,-0.033031951636075974
0.0182677396,-0.0176650435,-0.481307417,0.16624618893130222,0.16225700080394745,-0.014892656356096268,-0.03299499675631523
0.0181412492,-0.0167095196,-0.481767982,0.17204090040936784,0.16764549911022186,-0.005800317972898483,-0.038202282041311264
0.0181440245,-0.0171128213,-0.481805325,0.16862043669003154,0.1644025295972824,-0.00825786218047142,-0.03655773028731346
0.0181690864,-0.0179694295,-0.48179701,0.16190985214019446,0.1579621285200119,-0.013901129364967346,-0.03270358964800835
0.0181189161,-0.0175448768,-0.481974095,0.16451127552191686,0.16042284667491913,-0.0100729800760746,-0.03502863273024559
0.0182002224,-0.01878074,-0.481755227,0.15607033093518036,0.15217404067516327,-0.01928100362420082,-0.028796743601560593
0.0182005223,-0.0183319952,-0.481698126,0.15959309983631542,0.155689999461174,-0.016798309981822968,-0.030796077102422714
0.0179624464,-0.0166974217,-0.4825854,0.1693003819737708,0.1644635647535324,-0.0007082447409629822,-0.040172796696424484
0.0180657655,-0.0168391634,-0.482129842,0.16966969380772867,0.16518335044384003,-0.004459060728549957,-0.03850172087550163
0.0180645362,-0.0171894114,-0.482178986,0.16660571788218728,0.1622963398694992,-0.006481785327196121,-0.03708570823073387
0.0180848502,-0.0179820731,-0.48218441,0.16023759936838136,0.1562669724225998,-0.011626414954662323,-0.033489521592855453
0.0180181265,-0.0175563991,-0.482437104,0.16265342439382663,0.15844635665416718,-0.0073173195123672485,-0.03601868078112602
0.0180232245,-0.0188490078,-0.482574403,0.1519758269072186,0.1482127159833908,-0.014765419065952301,-0.030193131417036057
0.0181358308,-0.018739095,-0.482045025,0.15508972095606227,0.15125469863414764,-0.017272505909204483,-0.029605712741613388
0.0179728139,-0.0168922786,-0.482562125,0.16771049141766037,0.16303376853466034,-0.0021605361253023148,-0.039269980043172836
0.0178636312,-0.0175665151,-0.483146042,0.1599753748439546,0.1554742306470871,-0.0030344687402248383,-0.03755896911025047
0.0179291517,-0.0171422139,-0.482793123,0.16480831152233485,0.16018085181713104,-0.0024019479751586914,-0.038705360144376755
0.0180006605,-0.0180418324,-0.482577443,0.15821590218053075,0.15420107543468475,-0.009617559611797333,-0.0340852253139019
0.0180410296,-0.0184700061,-0.482445717,0.15539745377423853,0.15154747664928436,-0.013154350221157074,-0.031759943813085556
0.0179358888,-0.0176709294,-0.482827961,0.16026518362492856,0.15598134696483612,-0.005678407847881317,-0.03636625036597252
0.0179625247,-0.018609494,-0.482822597,0.15277106117025427,0.14894108474254608,-0.011744439601898193,-0.031900133937597275
0.0178901311,-0.0181529913,-0.483097494,0.15530788848734312,0.1512158364057541,-0.007159966975450516,-0.03468495234847069
0.0182804558,-0.0172764994,-0.481430739,0.1683527507379774,0.16427330672740936,-0.011974703520536423,-0.03483584150671959
0.0183778275,-0.0172757115,-0.481454015,0.16745233674612578,0.16335110366344452,-0.012556247413158417,-0.034627195447683334
0.0185742937,-0.0172755606,-0.481499225,0.16566416147208307,0.16151933372020721,-0.013720326125621796,-0.03417414054274559
0.0188702829,-0.0172739513,-0.481556714,0.16305349563850524,0.1588325947523117,-0.015438247472047806,-0.03347102925181389
0.0191459265,-0.017271338,-0.481603235,0.160700342122383,0.15640215575695038,-0.016988754272460938,-0.032777246087789536
0.0194688719,-0.017268125,-0.481655061,0.15798430558574797,0.15357904136180878,-0.018735036253929138,-0.03196118399500847
0.0197562687,-0.0172657873,-0.481700659,0.15559583774075558,0.15109090507030487,-0.020193282514810562,-0.031206320971250534
0.0200911835,-0.0172651056,-0.481755465,0.15281420403164073,0.1481812447309494,-0.02180846780538559,-0.03031320497393608
0.0203916691,-0.0172672961,-0.481806934,0.15030572304800185,0.1455569714307785,-0.02316363900899887,-0.029469039291143417
0.020689521,-0.0172729325,-0.481859267,0.14781849457636143,0.1429479569196701,-0.024435382336378098,-0.02861994132399559
0.0209580604,-0.0172821879,-0.481906325,0.14554865547915719,0.14056925475597382,-0.025525715202093124,-0.027805279940366745
0.0213425346,-0.0173051655,-0.481970936,0.14231232967091567,0.1371648758649826,-0.02702946588397026,-0.026608344167470932
0.0216752551,-0.0173372161,-0.482022732,0.1394937238753301,0.1341877430677414,-0.02829115465283394,-0.02552957460284233
0.0220117718,-0.0173834544,-0.482070953,0.1366043121566571,0.13112835586071014,-0.029543787240982056,-0.024356868118047714
0.0223482829,-0.0174435582,-0.482116401,0.1336898832985114,0.12803106009960175,-0.030750218778848648,-0.023139934986829758
0.022681661,-0.0175182018,-0.482160449,0.13077598179017016,0.12491969764232635,-0.03190993890166283,-0.02189023420214653
0.0230108444,-0.0176091231,-0.482204854,0.12782025273224681,0.12174896895885468,-0.033015087246894836,-0.02062061056494713
0.0233335532,-0.0177183952,-0.482251376,0.1248385485547973,0.11853580176830292,-0.0340566411614418,-0.019340943545103073
0.0236515924,-0.0178474206,-0.482301831,0.12182962974199646,0.1152685135602951,-0.035056717693805695,-0.01807359978556633
0.0239661299,-0.0179960784,-0.482356906,0.118768291912251,0.11192826926708221,-0.03600200265645981,-0.016787659376859665
0.0242669173,-0.0181607176,-0.482414782,0.11573062974237305,0.10859589278697968,-0.03686082363128662,-0.015549611300230026
0.0245550256,-0.0183425322,-0.482476443,0.1127402168193743,0.10529021918773651,-0.037658676505088806,-0.014357935637235641
0.0248291623,-0.0185399223,-0.482543975,0.10978839655272611,0.10200600326061249,-0.038381993770599365,-0.013232152909040451
0.0250910372,-0.018754568,-0.482619703,0.10682265900878617,0.09868721663951874,-0.03904063254594803,-0.012154947966337204
0.0253445394,-0.0189893227,-0.482707322,0.10380673509928569,0.09529666602611542,-0.03963063657283783,-0.011126380413770676
0.0255734641,-0.0192250498,-0.482801348,0.10095293071521669,0.09207658469676971,-0.04011170566082001,-0.01021997258067131
0.0257969182,-0.0194716956,-0.482907981,0.09804736613584056,0.08880142867565155,-0.04049565643072128,-0.00936451181769371
0.0260078851,-0.0197188631,-0.483023137,0.09519370168537213,0.0855899304151535,-0.04077264666557312,-0.0085904560983181
0.026213076,-0.0199694317,-0.483148247,0.0923376275016381,0.08238320052623749,-0.04095448553562164,-0.007872473448514938
0.0263996571,-0.020198008,-0.483269185,0.08971484085364206,0.07946066558361053,-0.04101303219795227,-0.007258545607328415
0.0265953131,-0.0204404946,-0.483401626,0.08695532432662842,0.07640008628368378,-0.040991343557834625,-0.006630610674619675
0.0267932992,-0.0206880644,-0.483540744,0.08414574569341124,0.07329730689525604,-0.04088350385427475,-0.006045695394277573
0.027005367,-0.0209535621,-0.483694077,0.08113900385210288,0.07000283896923065,-0.040662601590156555,-0.005449157208204269
0.0272007529,-0.0211979523,-0.483838826,0.07835925033881863,0.06698279082775116,-0.040365852415561676,-0.004906710237264633
