[Data],,
X [ m ], Y [ m ], Z [ m ]
0.0362117253 ,-0.0167676881 ,-0.4833228890 
0.0362156741 ,-0.0168407671 ,-0.4832102660 
0.0361020006 ,-0.0168679077 ,-0.4833419620 
0.0360746346 ,-0.0169695765 ,-0.4831658600 
0.0214537289 ,-0.0176855139 ,-0.4815279250 
0.0213952661 ,-0.0178579874 ,-0.4815152590 
0.0216007475 ,-0.0178693794 ,-0.4815417230 
0.0342105292 ,-0.0157726984 ,-0.4822885390 
0.0341225602 ,-0.0158636626 ,-0.4823837580 
0.0342043452 ,-0.0159237236 ,-0.4822570680 
0.0342389010 ,-0.0156160025 ,-0.4823324380 
0.0341412164 ,-0.0157095753 ,-0.4824194610 
0.0340633616 ,-0.0153497774 ,-0.4863653780 
0.0339488946 ,-0.0152808437 ,-0.4862634540 
0.0341257490 ,-0.0152881322 ,-0.4862309690 
0.0340171270 ,-0.0154166082 ,-0.4864927530 
0.0339139961 ,-0.0153422207 ,-0.4863920510 
0.0336272009 ,-0.0151485624 ,-0.4840026500 
0.0336520672 ,-0.0151759842 ,-0.4838477370 
0.0337547138 ,-0.0150844343 ,-0.4839327040 
0.0337288566 ,-0.0150759295 ,-0.4840743840 
0.0336242020 ,-0.0151249850 ,-0.4841593210 
0.0339136571 ,-0.0152608790 ,-0.4831806120 
0.0338594504 ,-0.0153858550 ,-0.4830869440 
0.0339490660 ,-0.0153048374 ,-0.4830537740 
0.0338776931 ,-0.0152232470 ,-0.4833071530 
0.0338041037 ,-0.0153409801 ,-0.4832318720 
0.0298412535 ,-0.0270535350 ,-0.4819931980 
0.0299068410 ,-0.0271669030 ,-0.4819115700 
0.0299748201 ,-0.0270957109 ,-0.4820423420 
0.0296977628 ,-0.0270018335 ,-0.4819404480 
0.0297626182 ,-0.0271297935 ,-0.4818687440 
0.0329775065 ,-0.0170842316 ,-0.4867477120 
0.0329032764 ,-0.0169673264 ,-0.4866742790 
0.0328436755 ,-0.0170180406 ,-0.4868041570 
0.0331222378 ,-0.0171314664 ,-0.4866943060 
0.0330294408 ,-0.0170360580 ,-0.4866084460 
0.0347856432 ,-0.0168933254 ,-0.4860558810 
0.0348293148 ,-0.0169405788 ,-0.4859109220 
0.0346933641 ,-0.0170099679 ,-0.4859746400 
0.0346595161 ,-0.0169630814 ,-0.4861185850 
0.0347387828 ,-0.0168329477 ,-0.4862003920 
0.0365078822 ,-0.0221263003 ,-0.4828716520 
0.0366453193 ,-0.0222095251 ,-0.4827920200 
0.0365641862 ,-0.0222863927 ,-0.4829137330 
0.0364517123 ,-0.0219892655 ,-0.4828127320 
0.0366008021 ,-0.0220487770 ,-0.4827514290 
0.0230217334 ,-0.0192878786 ,-0.4838869270 
0.0231167935 ,-0.0193776861 ,-0.4837826490 
0.0229692068 ,-0.0193292145 ,-0.4837463800 
0.0230851602 ,-0.0192268994 ,-0.4840270580 
0.0231674705 ,-0.0193327963 ,-0.4839338060 
0.0256795306 ,-0.0175490584 ,-0.4831441640 
0.0257511754 ,-0.0176627487 ,-0.4830473070 
0.0257948786 ,-0.0176209379 ,-0.4832167920 
0.0255454686 ,-0.0174736194 ,-0.4830763940 
0.0256229676 ,-0.0175908823 ,-0.4829795960 
0.0186593514 ,-0.0164891742 ,-0.4829424020 
0.0184974801 ,-0.0165171381 ,-0.4829105140 
0.0185947809 ,-0.0164328273 ,-0.4828080830 
0.0187559575 ,-0.0164087098 ,-0.4828370810 
0.0188209508 ,-0.0164605714 ,-0.4829739930 
0.0343121439 ,-0.0152707640 ,-0.4825707380 
0.0342434719 ,-0.0153946988 ,-0.4825154540 
0.0343540572 ,-0.0153265707 ,-0.4824365680 
0.0344321094 ,-0.0152014755 ,-0.4825071390 
0.0343885049 ,-0.0151457246 ,-0.4826617840 
0.0352782607 ,-0.0148012154 ,-0.4832018910 
0.0352933854 ,-0.0148288691 ,-0.4833534660 
0.0351645499 ,-0.0148073137 ,-0.4833367170 
0.0342710949 ,-0.0168992728 ,-0.4828401800 
0.0343264602 ,-0.0168704037 ,-0.4826811250 
0.0342138372 ,-0.0167921986 ,-0.4827098250 
0.0345137306 ,-0.0167080369 ,-0.4821769600 
0.0344959721 ,-0.0165749993 ,-0.4820790590 
0.0343843997 ,-0.0166309681 ,-0.4822489320 
0.0346341357 ,-0.0167614892 ,-0.4821107980 
0.0345882475 ,-0.0166686680 ,-0.4820599560 
0.0354118235 ,-0.0222961493 ,-0.4821839030 
0.0353489369 ,-0.0222329367 ,-0.4823105040 
0.0353019685 ,-0.0223735422 ,-0.4822476210 
0.0353978723 ,-0.0224538613 ,-0.4821358320 
0.0355029888 ,-0.0223538615 ,-0.4820841850 
0.0228204336 ,-0.0180055797 ,-0.4816931490 
0.0229272600 ,-0.0179350041 ,-0.4817053380 
0.0227880012 ,-0.0178833809 ,-0.4816833440 
0.0226450656 ,-0.0178505480 ,-0.4816597400 
0.0226844009 ,-0.0180029143 ,-0.4816729130 
0.0231240653 ,-0.0183535386 ,-0.4817820490 
0.0232269131 ,-0.0182476602 ,-0.4817798140 
0.0230936464 ,-0.0181871112 ,-0.4817502200 
0.0229389053 ,-0.0180882402 ,-0.4817163050 
0.0229424089 ,-0.0182765890 ,-0.4817422030 
0.0347021744 ,-0.0232032649 ,-0.4837990400 
0.0348676816 ,-0.0231849700 ,-0.4838528040 
0.0347929597 ,-0.0233010668 ,-0.4839205150 
0.0348059498 ,-0.0231006481 ,-0.4837560950 
0.0346596465 ,-0.0230880305 ,-0.4836497310 
0.0306963585 ,-0.0284551028 ,-0.4817739730 
0.0308598243 ,-0.0283902027 ,-0.4817755520 
0.0306934901 ,-0.0282614715 ,-0.4817435740 
0.0305301715 ,-0.0281371847 ,-0.4817205070 
0.0304748453 ,-0.0283336639 ,-0.4817329650 
0.0345255062 ,-0.0169279259 ,-0.4825063050 
0.0346586667 ,-0.0169751588 ,-0.4824506640 
0.0345313065 ,-0.0168647002 ,-0.4823722240 
0.0344538502 ,-0.0169478506 ,-0.4826564190 
0.0345986113 ,-0.0170116127 ,-0.4826171400 
0.0341826528 ,-0.0155523494 ,-0.4824582640 
