X [ m ], Y [ m ], Z [ m ]
0.036211725,-0.016767688,-0.483322889
0.036215674,-0.016840767,-0.483210266
0.036102001,-0.016867908,-0.483341962
0.036074635,-0.016969577,-0.48316586
0.021453729,-0.017685514,-0.481527925
0.021395266,-0.017857987,-0.481515259
0.021600748,-0.017869379,-0.481541723
0.034210529,-0.015772698,-0.482288539
0.03412256,-0.015863663,-0.482383758
0.034204345,-0.015923724,-0.482257068
0.034238901,-0.015616003,-0.482332438
0.034141216,-0.015709575,-0.482419461
0.034063362,-0.015349777,-0.486365378
0.033948895,-0.015280844,-0.486263454
0.034125749,-0.015288132,-0.486230969
0.034017127,-0.015416608,-0.486492753
0.033913996,-0.015342221,-0.486392051
0.033627201,-0.015148562,-0.48400265
0.033652067,-0.015175984,-0.483847737
0.033754714,-0.015084434,-0.483932704
0.033728857,-0.01507593,-0.484074384
0.033624202,-0.015124985,-0.484159321
0.033913657,-0.015260879,-0.483180612
0.03385945,-0.015385855,-0.483086944
0.033949066,-0.015304837,-0.483053774
0.033877693,-0.015223247,-0.483307153
0.033804104,-0.01534098,-0.483231872
0.029841254,-0.027053535,-0.481993198
0.029906841,-0.027166903,-0.48191157
0.02997482,-0.027095711,-0.482042342
0.029697763,-0.027001834,-0.481940448
0.029762618,-0.027129794,-0.481868744
0.032977507,-0.017084232,-0.486747712
0.032903276,-0.016967326,-0.486674279
0.032843676,-0.017018041,-0.486804157
0.033122238,-0.017131466,-0.486694306
0.033029441,-0.017036058,-0.486608446
0.034785643,-0.016893325,-0.486055881
0.034829315,-0.016940579,-0.485910922
0.034693364,-0.017009968,-0.48597464
0.034659516,-0.016963081,-0.486118585
0.034738783,-0.016832948,-0.486200392
0.036507882,-0.0221263,-0.482871652
0.036645319,-0.022209525,-0.48279202
0.036564186,-0.022286393,-0.482913733
0.036451712,-0.021989266,-0.482812732
0.036600802,-0.022048777,-0.482751429
0.023021733,-0.019287879,-0.483886927
0.023116794,-0.019377686,-0.483782649
0.022969207,-0.019329215,-0.48374638
0.02308516,-0.019226899,-0.484027058
0.023167471,-0.019332796,-0.483933806
0.025679531,-0.017549058,-0.483144164
0.025751175,-0.017662749,-0.483047307
0.025794879,-0.017620938,-0.483216792
0.025545469,-0.017473619,-0.483076394
0.025622968,-0.017590882,-0.482979596
0.018659351,-0.016489174,-0.482942402
0.01849748,-0.016517138,-0.482910514
0.018594781,-0.016432827,-0.482808083
0.018755958,-0.01640871,-0.482837081
0.018820951,-0.016460571,-0.482973993
0.034312144,-0.015270764,-0.482570738
0.034243472,-0.015394699,-0.482515454
0.034354057,-0.015326571,-0.482436568
0.034432109,-0.015201476,-0.482507139
0.034388505,-0.015145725,-0.482661784
