[Data],,,,,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
0.0182326343 ,-0.0172775611 ,-0.4814200400 ,0.2700001600 ,0.2636933920 ,0.0071730190 ,-0.0575710870 
0.0182255767 ,-0.0177547764 ,-0.4815116520 ,0.2700000110 ,0.2636918430 ,0.0071502570 ,-0.0575803928 
0.0182677396 ,-0.0176650435 ,-0.4813074170 ,0.2699996530 ,0.2636948230 ,0.0071576829 ,-0.0575641282 
0.0181412492 ,-0.0167095196 ,-0.4817679820 ,0.2699999810 ,0.2636930350 ,0.0071463632 ,-0.0575751960 
0.0181440245 ,-0.0171128213 ,-0.4818053250 ,0.2700000410 ,0.2636924390 ,0.0071627721 ,-0.0575761050 
0.0181690864 ,-0.0179694295 ,-0.4817970100 ,0.2700000110 ,0.2636939880 ,0.0071533979 ,-0.0575701110 
0.0181189161 ,-0.0175448768 ,-0.4819740950 ,0.2700000110 ,0.2636923490 ,0.0071612303 ,-0.0575766973 
0.0182002224 ,-0.0187807400 ,-0.4817552270 ,0.2700002790 ,0.2636964020 ,0.0071636876 ,-0.0575589351 
0.0182005223 ,-0.0183319952 ,-0.4816981260 ,0.2700000410 ,0.2636952400 ,0.0071535315 ,-0.0575644523 
0.0179624464 ,-0.0166974217 ,-0.4825854000 ,0.2700001300 ,0.2636932430 ,0.0071512321 ,-0.0575743355 
0.0180657655 ,-0.0168391634 ,-0.4821298420 ,0.2700000700 ,0.2636954490 ,0.0071590869 ,-0.0575629286 
0.0180645362 ,-0.0171894114 ,-0.4821789860 ,0.2700000110 ,0.2636959550 ,0.0071516130 ,-0.0575613230 
0.0180848502 ,-0.0179820731 ,-0.4821844100 ,0.2700000410 ,0.2636934520 ,0.0071487972 ,-0.0575733557 
0.0180181265 ,-0.0175563991 ,-0.4824371040 ,0.2699999810 ,0.2636945840 ,0.0071461494 ,-0.0575682186 
0.0180232245 ,-0.0188490078 ,-0.4825744030 ,0.2699997130 ,0.2636907700 ,0.0071569607 ,-0.0575829484 
0.0181358308 ,-0.0187390950 ,-0.4820450250 ,0.2700001000 ,0.2636923790 ,0.0071569756 ,-0.0575774163 
0.0179728139 ,-0.0168922786 ,-0.4825621250 ,0.2699999810 ,0.2636906210 ,0.0071570734 ,-0.0575848930 
0.0178636312 ,-0.0175665151 ,-0.4831460420 ,0.2700000110 ,0.2636899950 ,0.0071622897 ,-0.0575872362 
0.0179291517 ,-0.0171422139 ,-0.4827931230 ,0.2700000110 ,0.2636937800 ,0.0071688537 ,-0.0575691909 
0.0180006605 ,-0.0180418324 ,-0.4825774430 ,0.2700000410 ,0.2636924680 ,0.0071599591 ,-0.0575762875 
0.0180410296 ,-0.0184700061 ,-0.4824457170 ,0.2700000410 ,0.2636941970 ,0.0071511352 ,-0.0575696044 
0.0179358888 ,-0.0176709294 ,-0.4828279610 ,0.2700000110 ,0.2636947040 ,0.0071523893 ,-0.0575669296 
