
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
1.17918253e-02, 1.75056364e-02, -5.32974839e-01, -2.62956321e-01, -2.34772861e-01, 9.85182747e-02
1.14073968e-02, 1.82136074e-02, -5.32313347e-01, -2.62906909e-01, -2.34859556e-01, 9.84479561e-02
1.17976246e-02, 1.70309469e-02, -5.34091234e-01, -2.62903959e-01, -2.34852433e-01, 9.84649733e-02
1.15490649e-02, 1.75523087e-02, -5.33511698e-01, -2.62942195e-01, -2.34807447e-01, 9.84735116e-02
1.12355035e-02, 1.80616584e-02, -5.33134520e-01, -2.62923867e-01, -2.34819695e-01, 9.84933153e-02
1.10090273e-02, 1.84977464e-02, -5.32699525e-01, -2.62967408e-01, -2.34790489e-01, 9.84466448e-02
1.08286031e-02, 1.89221334e-02, -5.32169104e-01, -2.62934387e-01, -2.34845698e-01, 9.84038562e-02
1.14605036e-02, 1.73251126e-02, -5.34290135e-01, -2.62947440e-01, -2.34833047e-01, 9.83984023e-02
1.09822452e-02, 1.74818952e-02, -5.35193264e-01, -2.62956351e-01, -2.34783590e-01, 9.84975994e-02
1.10725593e-02, 1.79231819e-02, -5.33899903e-01, -2.62929022e-01, -2.34821513e-01, 9.84751955e-02
1.07741579e-02, 1.84639785e-02, -5.33407092e-01, -2.62922525e-01, -2.34812915e-01, 9.85130966e-02
1.04942778e-02, 1.89539157e-02, -5.32986224e-01, -2.62955606e-01, -2.34765917e-01, 9.85367522e-02
1.02254292e-02, 1.95268895e-02, -5.32337725e-01, -2.62979686e-01, -2.34780833e-01, 9.84386280e-02
1.10643180e-02, 1.76099017e-02, -5.34669042e-01, -2.62973458e-01, -2.34757006e-01, 9.85105634e-02
1.00006843e-02, 1.85582917e-02, -5.35247803e-01, -2.62966990e-01, -2.34815866e-01, 9.83853936e-02
1.06236842e-02, 1.79942735e-02, -5.34929156e-01, -2.62990296e-01, -2.34763667e-01, 9.84495580e-02
1.07066194e-02, 1.81946848e-02, -5.34229577e-01, -2.62975484e-01, -2.34794363e-01, 9.84158143e-02
1.04007609e-02, 1.86793618e-02, -5.33890605e-01, -2.62939006e-01, -2.34821662e-01, 9.84482616e-02
1.01435753e-02, 1.93982497e-02, -5.32863200e-01, -2.62926340e-01, -2.34817833e-01, 9.84911844e-02
1.00671863e-02, 1.91817768e-02, -5.33583581e-01, -2.62929499e-01, -2.34818965e-01, 9.84797925e-02
9.64544807e-03, 1.97953135e-02, -5.33246458e-01, -2.62951016e-01, -2.34787598e-01, 9.84994695e-02
