
[Name]
ia

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-3.00345384e-02, -2.43964363e-02, 1.51765049e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.41876459e+00, 3.88173175e+00, -1.48851025e+00, 3.47555852e+00
-3.01270299e-02, -2.44855247e-02, 1.51749969e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.06088829e+00, 4.97929573e+00, -1.29105651e+00, 4.83693409e+00
-3.01825330e-02, -2.43006796e-02, 1.51755714e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.01389885e+00, 4.75987720e+00, -1.01882398e+00, 5.04978657e+00
-3.00969463e-02, -2.42178924e-02, 1.51772547e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.62234688e+00, 3.81074762e+00, -1.13858473e+00, 3.97399187e+00
-2.99536157e-02, -2.43185144e-02, 1.51782000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.99740219e+00, 3.47298956e+00, -1.58692420e+00, 3.22397971e+00
-3.77558954e-02, -2.78112795e-02, 1.51624465e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.81430645e+01, 1.96828616e+00, 1.34602194e+01, -1.20049639e+01
-3.77189070e-02, -2.79929861e-02, 1.51632524e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.91229401e+01, 2.10418248e+00, 1.39629631e+01, -1.28955383e+01
-3.78309041e-02, -2.78517418e-02, 1.51638567e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.84152946e+01, 1.75757241e+00, 1.37272148e+01, -1.21489735e+01
-3.76835242e-02, -2.77318917e-02, 1.51609087e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.70456676e+01, 2.00749326e+00, 1.26387615e+01, -1.12599506e+01
-3.76316607e-02, -2.79143173e-02, 1.51615489e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.84412975e+01, 2.38654685e+00, 1.33437042e+01, -1.25032539e+01
-3.74176204e-02, -2.35685855e-02, 1.51955760e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.43220711e+00, -4.22409153e+00, -2.98706627e+00, -3.82201242e+00
-3.75045016e-02, -2.37192269e-02, 1.51963985e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.61279202e+00, -3.64952064e+00, -2.80849791e+00, -3.20885873e+00
-3.73727493e-02, -2.36077365e-02, 1.51974928e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.78687906e+00, -3.71758151e+00, -3.39236879e+00, -2.85646462e+00
-3.74657474e-02, -2.35186890e-02, 1.51935732e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.61319542e+00, -4.23725843e+00, -2.39207220e+00, -4.47861433e+00
-3.75575237e-02, -2.36690976e-02, 1.51945019e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.65759325e+00, -3.62913418e+00, -2.07928658e+00, -3.80976582e+00
-3.65593657e-02, -2.82952059e-02, 1.52136397e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.87965488e-01, -4.12764758e-01, -2.89507061e-01, -3.02513361e-01
-3.67482863e-02, -2.82359179e-02, 1.52131212e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.27819884e-01, -7.51985073e-01, 3.29279304e-01, -1.06674463e-01
-3.66644189e-02, -2.83997748e-02, 1.52123785e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.25420177e-01, -5.50059021e-01, -2.37068832e-01, -4.09228384e-01
-3.64750139e-02, -2.84602288e-02, 1.52128673e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.64549100e-01, -1.95593029e-01, -6.55636787e-01, -5.28515697e-01
-3.63694951e-02, -2.83519253e-02, 1.52141392e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.33953822e-01, -1.96650699e-01, -7.11524010e-01, -5.72129190e-01
-3.59432325e-02, -2.86553372e-02, 1.51538992e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27960300e+01, 4.74342585e+00, 8.92360783e+00, -7.84904480e+00
-3.57419439e-02, -2.86953505e-02, 1.51535773e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.32714748e+01, 6.07664013e+00, 8.74797058e+00, -7.91703844e+00
-3.58535796e-02, -2.88148876e-02, 1.51547599e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29518900e+01, 5.81929159e+00, 8.29206085e+00, -8.07025623e+00
-3.60264108e-02, -2.84952577e-02, 1.51530743e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.22822189e+01, 3.92138004e+00, 9.00951290e+00, -7.36914921e+00
-3.58285271e-02, -2.85383258e-02, 1.51527441e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.26865311e+01, 5.01989126e+00, 8.95691299e+00, -7.45134068e+00
-3.60786319e-02, -2.39245966e-02, 1.52206242e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.41530991e+00, -3.81304049e+00, -7.47862101e+00, -5.90242326e-01
-3.59908976e-02, -2.40115356e-02, 1.52221644e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.80466461e+00, -3.56343508e+00, -8.05069160e+00, 1.02064483e-01
-3.59494686e-02, -2.38211676e-02, 1.52216840e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.88014889e+00, -3.72076702e+00, -8.06305885e+00, -5.03219338e-03
-3.60361934e-02, -2.37312950e-02, 1.52201033e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.89185429e+00, -3.67189121e+00, -6.94630241e+00, -7.39908278e-01
-3.61622684e-02, -2.38371789e-02, 1.52190554e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.02946377e+00, -3.84694791e+00, -6.96941185e+00, -1.04908371e+00
-3.32199596e-02, -2.92732101e-02, 1.51642108e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.46209011e+01, 1.21612854e+01, 5.99705458e+00, 5.46893311e+00
-3.33730020e-02, -2.93458607e-02, 1.51634145e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14191694e+01, 9.96107578e+00, 4.13221407e+00, 3.75488997e+00
-3.33102532e-02, -2.91913804e-02, 1.51622450e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.28617115e+01, 1.09533186e+01, 5.73213100e+00, 3.54839253e+00
-3.58584858e-02, -2.80760657e-02, 1.52181292e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.59415054e+00, -3.83705282e+00, -5.44166851e+00, -5.43366337e+00
-3.60429361e-02, -2.80174967e-02, 1.52176583e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.42940474e+00, -2.72359252e+00, -3.32870841e+00, -3.31363559e+00
-3.59671451e-02, -2.81920321e-02, 1.52169228e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.67620897e+00, -2.11930299e+00, -3.85895038e+00, -3.58279324e+00
-3.57809477e-02, -2.82381196e-02, 1.52173996e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.04703140e+00, -3.12600493e+00, -6.17914391e+00, -5.82194614e+00
-3.56736481e-02, -2.81286016e-02, 1.52185977e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.36619778e+01, -5.82799339e+00, -8.49915791e+00, -8.96930599e+00
-3.52840573e-02, -2.74904761e-02, 1.52266586e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.43481464e+01, -9.16392612e+00, -1.02286873e+01, -2.01054401e+01
-3.53545509e-02, -2.75602899e-02, 1.52250350e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.48214302e+01, -1.45791254e+01, -1.32884130e+01, -2.86949348e+01
-3.52080204e-02, -2.76665501e-02, 1.52259254e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.92899094e+01, -9.04397297e+00, -1.34919338e+01, -2.43736153e+01
-3.53508443e-02, -2.73108967e-02, 1.52272451e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.13393631e+01, -8.48392963e+00, -9.01718235e+00, -1.73804989e+01
-3.54220644e-02, -2.73884255e-02, 1.52256286e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.08593655e+01, -1.34891605e+01, -1.12909546e+01, -2.53546314e+01
-3.52763347e-02, -2.72330251e-02, 1.52289164e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09882088e+01, -3.41593599e+00, -6.68425894e+00, -8.02451134e+00
-3.53398658e-02, -2.70374194e-02, 1.52295589e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.30010605e+00, -2.72148180e+00, -4.49927139e+00, -5.06375742e+00
-3.54156941e-02, -2.71211229e-02, 1.52278829e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.70153904e+01, -7.31341457e+00, -7.04353285e+00, -1.36537962e+01
