X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
2.93423273e-02, -2.23363508e-02, -4.91185963e-01, 1.29049500e+02, 0.00000000e+00
2.92729996e-02, -2.22585984e-02, -4.91073251e-01, 1.29147583e+02, 0.00000000e+00
2.94377338e-02, -2.22538318e-02, -4.91084486e-01, 1.28982712e+02, 0.00000000e+00
2.93684378e-02, -2.21823882e-02, -4.90974754e-01, 1.29081177e+02, 0.00000000e+00
2.91742999e-02, -2.23496966e-02, -4.91170794e-01, 1.29164017e+02, 0.00000000e+00
2.90960576e-02, -2.22703293e-02, -4.91052210e-01, 1.29271057e+02, 0.00000000e+00
2.89292224e-02, -2.22972855e-02, -4.91028875e-01, 1.29370193e+02, 0.00000000e+00
2.90231947e-02, -2.22032778e-02, -4.90932673e-01, 1.29383438e+02, 0.00000000e+00
2.91307624e-02, -2.21195929e-02, -4.90827918e-01, 1.29357712e+02, 0.00000000e+00
2.89602783e-02, -2.21352503e-02, -4.90799367e-01, 1.29510239e+02, 0.00000000e+00
2.92947348e-02, -2.21140236e-02, -4.90848958e-01, 1.29182755e+02, 0.00000000e+00
2.94569694e-02, -2.21108105e-02, -4.90860641e-01, 1.28952850e+02, 0.00000000e+00
2.92475447e-02, -2.20507514e-02, -4.90709752e-01, 1.29272202e+02, 0.00000000e+00
2.95337718e-02, -2.21780650e-02, -4.90974367e-01, 1.28836060e+02, 0.00000000e+00
3.35277356e-02, -2.38020923e-02, -4.89281029e-01, 1.18868477e+02, 0.00000000e+00
3.35402526e-02, -2.36314945e-02, -4.89425451e-01, 1.18588882e+02, 0.00000000e+00
3.34991552e-02, -2.36055441e-02, -4.89252031e-01, 1.18361229e+02, 0.00000000e+00
3.35498117e-02, -2.39831172e-02, -4.89369184e-01, 1.19559509e+02, 0.00000000e+00
3.35229114e-02, -2.39315387e-02, -4.89215285e-01, 1.19207932e+02, 0.00000000e+00
3.35612521e-02, -2.37230733e-02, -4.89647478e-01, 1.19166702e+02, 0.00000000e+00
3.35550420e-02, -2.38404386e-02, -4.89442110e-01, 1.19189331e+02, 0.00000000e+00
3.07794008e-02, -2.39460152e-02, -4.92246002e-01, 1.26896568e+02, 0.00000000e+00
3.06977164e-02, -2.38137748e-02, -4.92249846e-01, 1.27013893e+02, 0.00000000e+00
3.08559593e-02, -2.37644780e-02, -4.92228746e-01, 1.26844429e+02, 0.00000000e+00
3.06234173e-02, -2.39538550e-02, -4.92255211e-01, 1.27069359e+02, 0.00000000e+00
3.06894183e-02, -2.36294381e-02, -4.92236882e-01, 1.27062729e+02, 0.00000000e+00
3.05040535e-02, -2.37930268e-02, -4.92256165e-01, 1.27231079e+02, 0.00000000e+00
2.63313279e-02, -2.54536476e-02, -4.84834582e-01, 1.05662231e+02, 0.00000000e+00
2.63099205e-02, -2.52754241e-02, -4.84865636e-01, 1.05918030e+02, 0.00000000e+00
2.64172517e-02, -2.53740735e-02, -4.84954089e-01, 1.05947121e+02, 0.00000000e+00
2.62216721e-02, -2.53599994e-02, -4.84749019e-01, 1.05694832e+02, 0.00000000e+00
2.64108665e-02, -2.51896866e-02, -4.84970957e-01, 1.06137825e+02, 0.00000000e+00
2.63136178e-02, -2.50919294e-02, -4.84871924e-01, 1.06064064e+02, 0.00000000e+00
2.62143519e-02, -2.51795985e-02, -4.84765321e-01, 1.05914581e+02, 0.00000000e+00
2.62505859e-02, -2.55273674e-02, -4.84709710e-01, 1.05387306e+02, 0.00000000e+00
2.61248220e-02, -2.52680033e-02, -4.84650701e-01, 1.05741371e+02, 0.00000000e+00
2.61465553e-02, -2.54396107e-02, -4.84626353e-01, 1.05495445e+02, 0.00000000e+00
2.62299385e-02, -2.50005964e-02, -4.84759420e-01, 1.06016563e+02, 0.00000000e+00
2.61277780e-02, -2.50907931e-02, -4.84652400e-01, 1.05902496e+02, 0.00000000e+00
2.60372069e-02, -2.51923930e-02, -4.84532148e-01, 1.05772774e+02, 0.00000000e+00
2.60516349e-02, -2.53517628e-02, -4.84528035e-01, 1.05598000e+02, 0.00000000e+00
2.75422912e-02, -2.38612927e-02, -4.89499688e-01, 1.28862350e+02, 0.00000000e+00
2.74889842e-02, -2.37922259e-02, -4.89385396e-01, 1.28902939e+02, 0.00000000e+00
2.75592394e-02, -2.36871298e-02, -4.89531577e-01, 1.29308990e+02, 0.00000000e+00
2.74248850e-02, -2.39203200e-02, -4.89258647e-01, 1.28414536e+02, 0.00000000e+00
2.74833255e-02, -2.39684097e-02, -4.89392668e-01, 1.28456772e+02, 0.00000000e+00
2.75009517e-02, -2.36081518e-02, -4.89363253e-01, 1.29339401e+02, 0.00000000e+00
2.74417456e-02, -2.37439722e-02, -4.89236355e-01, 1.28838425e+02, 0.00000000e+00
2.76191421e-02, -2.38602217e-02, -4.89639431e-01, 1.29024246e+02, 0.00000000e+00
2.76337098e-02, -2.36943346e-02, -4.89679426e-01, 1.29389969e+02, 0.00000000e+00
2.76223309e-02, -2.35425476e-02, -4.89650428e-01, 1.29670837e+02, 0.00000000e+00
2.75658090e-02, -2.34923735e-02, -4.89496291e-01, 1.29706482e+02, 0.00000000e+00
3.05308476e-02, -2.68195011e-02, -4.89252716e-01, 1.27538177e+02, 0.00000000e+00
3.07247490e-02, -2.68162545e-02, -4.89281684e-01, 1.28519089e+02, 0.00000000e+00
3.06397043e-02, -2.68850718e-02, -4.89143014e-01, 1.28421310e+02, 0.00000000e+00
3.05788778e-02, -2.67542377e-02, -4.89381999e-01, 1.27507256e+02, 0.00000000e+00
3.08071431e-02, -2.68875323e-02, -4.89148647e-01, 1.29287109e+02, 0.00000000e+00
3.09168417e-02, -2.68317144e-02, -4.89256799e-01, 1.29621506e+02, 0.00000000e+00
3.08697373e-02, -2.67621763e-02, -4.89388704e-01, 1.29062027e+02, 0.00000000e+00
3.09824534e-02, -2.66989172e-02, -4.89498913e-01, 1.29339127e+02, 0.00000000e+00
3.08038294e-02, -2.66940389e-02, -4.89510030e-01, 1.28521759e+02, 0.00000000e+00
3.06383688e-02, -2.66877133e-02, -4.89508182e-01, 1.27639977e+02, 0.00000000e+00
3.04667447e-02, -2.66891103e-02, -4.89486396e-01, 1.26839813e+02, 0.00000000e+00
3.07187345e-02, -2.66228933e-02, -4.89623845e-01, 1.27966209e+02, 0.00000000e+00
3.06475218e-02, -2.68999785e-02, -4.86558318e-01, 1.26130043e+02, 0.00000000e+00
