
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
1.17918253e-02, 1.75056364e-02, -5.32974839e-01, -1.93973929e-01, -1.73183933e-01, 7.26735666e-02
1.14073968e-02, 1.82136074e-02, -5.32313347e-01, -1.93937659e-01, -1.73247904e-01, 7.26215392e-02
1.17976246e-02, 1.70309469e-02, -5.34091234e-01, -1.93935126e-01, -1.73242718e-01, 7.26342201e-02
1.15490649e-02, 1.75523087e-02, -5.33511698e-01, -1.93963498e-01, -1.73209459e-01, 7.26405606e-02
1.12355035e-02, 1.80616584e-02, -5.33134520e-01, -1.93949983e-01, -1.73218489e-01, 7.26551488e-02
1.10090273e-02, 1.84977464e-02, -5.32699525e-01, -1.93982095e-01, -1.73196942e-01, 7.26207346e-02
1.08286031e-02, 1.89221334e-02, -5.32169104e-01, -1.93957791e-01, -1.73237696e-01, 7.25891292e-02
1.14605036e-02, 1.73251126e-02, -5.34290135e-01, -1.93967387e-01, -1.73228353e-01, 7.25851506e-02
1.09822452e-02, 1.74818952e-02, -5.35193264e-01, -1.93974048e-01, -1.73191831e-01, 7.26585612e-02
1.10725593e-02, 1.79231819e-02, -5.33899903e-01, -1.93953782e-01, -1.73219815e-01, 7.26417974e-02
1.07741579e-02, 1.84639785e-02, -5.33407092e-01, -1.93948984e-01, -1.73213482e-01, 7.26697519e-02
1.04942778e-02, 1.89539157e-02, -5.32986224e-01, -1.93973392e-01, -1.73178822e-01, 7.26872012e-02
1.02254292e-02, 1.95268895e-02, -5.32337725e-01, -1.93991169e-01, -1.73189893e-01, 7.26147518e-02
1.10643180e-02, 1.76099017e-02, -5.34669042e-01, -1.93986565e-01, -1.73172235e-01, 7.26679191e-02
1.00006843e-02, 1.85582917e-02, -5.35247803e-01, -1.93981782e-01, -1.73215613e-01, 7.25753903e-02
1.06236842e-02, 1.79942735e-02, -5.34929156e-01, -1.93998978e-01, -1.73177153e-01, 7.26228803e-02
