

X [ m ], Y [ m ], Z [ m ]
5.70457568e-03, 8.64493754e-03, -5.24423242e-01
5.78397885e-03, 8.82941205e-03, -5.24397790e-01
5.66015253e-03, 8.70691612e-03, -5.24271429e-01
5.71106281e-03, 8.86216294e-03, -5.24212420e-01
3.26101622e-03, 4.75372002e-03, -5.23893595e-01
3.14595876e-03, 4.59888484e-03, -5.23906469e-01
3.17739858e-03, 4.72061662e-03, -5.24059892e-01
1.44854188e-03, 1.24907056e-02, -5.24924874e-01
1.40186190e-03, 1.25501454e-02, -5.25072873e-01
1.32104382e-03, 1.24272993e-02, -5.24989009e-01
1.35868322e-03, 1.23626934e-02, -5.24849534e-01
1.49781699e-03, 1.24299387e-02, -5.24790108e-01
7.39538926e-04, 7.15777418e-03, -5.27097464e-01
6.63387356e-04, 7.28103565e-03, -5.27113616e-01
7.62439333e-04, 7.30947684e-03, -5.27205467e-01
6.20386330e-04, 7.18297949e-03, -5.27015328e-01
5.21307869e-04, 7.31421541e-03, -5.27004778e-01
5.64118475e-03, 9.28631146e-03, -5.27594984e-01
5.57837868e-03, 9.35444608e-03, -5.27715087e-01
5.67950541e-03, 9.44227353e-03, -5.27622163e-01
5.74316271e-03, 9.37450584e-03, -5.27494073e-01
5.70155075e-03, 9.21363570e-03, -5.27460635e-01
3.34228831e-03, 6.88175112e-03, -5.22336245e-01
3.27314483e-03, 6.81653339e-03, -5.22227466e-01
3.37227318e-03, 6.72862073e-03, -5.22341847e-01
3.41649354e-03, 6.81192754e-03, -5.22423208e-01
3.42986127e-03, 6.95997849e-03, -5.22455990e-01
3.35714663e-03, 1.20962719e-02, -5.22995472e-01
3.29974224e-03, 1.21571757e-02, -5.23109972e-01
3.22848652e-03, 1.20493425e-02, -5.23043752e-01
3.31824832e-03, 1.19771408e-02, -5.22902668e-01
3.46267573e-03, 1.20847160e-02, -5.22907853e-01
3.88628221e-04, 9.52407159e-03, -5.23502350e-01
2.97260354e-04, 9.43491329e-03, -5.23599565e-01
3.63632396e-04, 9.36041307e-03, -5.23474336e-01
4.19424090e-04, 9.68582276e-03, -5.23527205e-01
3.25649657e-04, 9.59840789e-03, -5.23628950e-01
3.10902926e-03, 7.52372341e-03, -5.28503478e-01
3.28361453e-03, 7.56155839e-03, -5.28507113e-01
3.22564319e-03, 7.47530675e-03, -5.28416634e-01
2.99145817e-03, 7.46420398e-03, -5.28438389e-01
2.96223629e-03, 7.54479785e-03, -5.28544426e-01
3.06378468e-03, 6.98136445e-03, -5.22073388e-01
3.10028251e-03, 6.83291256e-03, -5.22043526e-01
3.17559671e-03, 6.90685213e-03, -5.22146583e-01
3.14525678e-03, 7.06285331e-03, -5.22174180e-01
3.02922726e-03, 7.13960780e-03, -5.22095263e-01
5.65224001e-03, 8.12509656e-03, -5.25055766e-01
5.74181043e-03, 8.21841601e-03, -5.25141239e-01
5.71608776e-03, 8.25252291e-03, -5.24984121e-01
5.58157591e-03, 7.99679197e-03, -5.25121093e-01
5.68229519e-03, 8.09096638e-03, -5.25219500e-01
3.81755084e-03, 6.31851703e-03, -5.26522398e-01
3.71930096e-03, 6.26124814e-03, -5.26566267e-01
3.75436130e-03, 6.35632966e-03, -5.26664555e-01
3.88265448e-03, 6.43062731e-03, -5.26605010e-01
3.93998949e-03, 6.39449526e-03, -5.26456892e-01
4.36658692e-03, 9.35748126e-03, -5.28989851e-01
4.24787123e-03, 9.29484516e-03, -5.29088378e-01
4.31287149e-03, 9.43436008e-03, -5.29129922e-01
4.40787850e-03, 9.26834624e-03, -5.28866947e-01
4.30579903e-03, 9.21589229e-03, -5.28955638e-01
2.96296924e-03, 1.15422634e-02, -5.22847593e-01
3.09580332e-03, 1.15995910e-02, -5.22774339e-01
3.01655149e-03, 1.16827236e-02, -5.22891700e-01
2.87136785e-03, 1.16315745e-02, -5.22981286e-01
2.83003505e-03, 1.14896074e-02, -5.22933960e-01
5.25231287e-03, 1.04420325e-02, -5.22339404e-01
5.12570329e-03, 1.05306702e-02, -5.22265553e-01
5.11554768e-03, 1.03835510e-02, -5.22287726e-01
5.35995327e-03, 1.05058486e-02, -5.22401750e-01
5.25956135e-03, 1.05941212e-02, -5.22313416e-01
5.54651115e-03, 1.11555103e-02, -5.22633433e-01
5.41939074e-03, 1.12464353e-02, -5.22553802e-01
5.45873819e-03, 1.10818902e-02, -5.22514999e-01
5.62938489e-03, 1.12102497e-02, -5.22762299e-01
