
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ]
1.17900837e-02, 1.75253693e-02, -5.32932460e-01
1.18431970e-02, 1.74792390e-02, -5.32900572e-01
1.19036688e-02, 1.72958020e-02, -5.33176363e-01
1.17690507e-02, 1.74988639e-02, -5.33051789e-01
1.16806291e-02, 1.76625568e-02, -5.32897592e-01
1.16871959e-02, 1.77326147e-02, -5.32713056e-01
1.16925659e-02, 1.77775975e-02, -5.32591403e-01
1.18405996e-02, 1.75296962e-02, -5.32787204e-01
1.19490242e-02, 1.72605608e-02, -5.33139348e-01
1.18036633e-02, 1.73964407e-02, -5.33203423e-01
1.19478302e-02, 1.71603411e-02, -5.33381522e-01
1.19020073e-02, 1.71565637e-02, -5.33513010e-01
1.18594244e-02, 1.72725059e-02, -5.33350050e-01
1.17222648e-02, 1.75088141e-02, -5.33152938e-01
1.16143469e-02, 1.76608413e-02, -5.33078611e-01
1.16508072e-02, 1.77032743e-02, -5.32880127e-01
1.15877744e-02, 1.79213118e-02, -5.32528460e-01
1.16038490e-02, 1.78193692e-02, -5.32728672e-01
1.16530387e-02, 1.78836808e-02, -5.32443881e-01
1.15217157e-02, 1.80513822e-02, -5.32394886e-01
1.19961342e-02, 1.71198472e-02, -5.33349156e-01
1.19752027e-02, 1.70342252e-02, -5.33609331e-01
1.17469830e-02, 1.73755214e-02, -5.33404768e-01
1.19102169e-02, 1.70443002e-02, -5.33758938e-01
1.18449256e-02, 1.71733964e-02, -5.33625424e-01
1.18105225e-02, 1.72490068e-02, -5.33536851e-01
1.16356909e-02, 1.75527502e-02, -5.33279479e-01
1.15835350e-02, 1.76511854e-02, -5.33183992e-01
1.15107298e-02, 1.77716520e-02, -5.33091009e-01
1.15421489e-02, 1.78259481e-02, -5.32877803e-01
1.15243560e-02, 1.79503541e-02, -5.32628596e-01
1.14968438e-02, 1.79114267e-02, -5.32794893e-01
1.15375724e-02, 1.80828068e-02, -5.32277465e-01
1.14189899e-02, 1.81888863e-02, -5.32341361e-01
1.13898041e-02, 1.82902254e-02, -5.32177448e-01
1.14006102e-02, 1.81343053e-02, -5.32520473e-01
1.19718229e-02, 1.69666763e-02, -5.33779383e-01
1.19067375e-02, 1.69592984e-02, -5.33970773e-01
1.17226290e-02, 1.73661057e-02, -5.33492327e-01
1.16399666e-02, 1.75009817e-02, -5.33391416e-01
1.18251266e-02, 1.69893485e-02, -5.34117043e-01
1.18355723e-02, 1.70932002e-02, -5.33841491e-01
1.17673874e-02, 1.72287002e-02, -5.33700585e-01
1.16736582e-02, 1.73322372e-02, -5.33703983e-01
1.15361381e-02, 1.76221747e-02, -5.33379734e-01
1.14856223e-02, 1.77257732e-02, -5.33267677e-01
1.14432117e-02, 1.78441927e-02, -5.33098340e-01
1.14591811e-02, 1.78874154e-02, -5.32952785e-01
1.14302384e-02, 1.80136003e-02, -5.32729089e-01
1.13737807e-02, 1.80149525e-02, -5.32876670e-01
1.13055771e-02, 1.84301548e-02, -5.32068670e-01
1.13320649e-02, 1.83130428e-02, -5.32277286e-01
1.12823397e-02, 1.84058361e-02, -5.32188594e-01
1.11867394e-02, 1.85651295e-02, -5.32064080e-01
1.13423364e-02, 1.81439519e-02, -5.32652974e-01
1.13093620e-02, 1.82331428e-02, -5.32528400e-01
1.18193384e-02, 1.69069450e-02, -5.34328997e-01
1.15668997e-02, 1.75154470e-02, -5.33551991e-01
1.17952628e-02, 1.69530157e-02, -5.34283400e-01
1.17273927e-02, 1.70871094e-02, -5.34144819e-01
1.17610563e-02, 1.71143059e-02, -5.33990085e-01
1.17591349e-02, 1.71821807e-02, -5.33833504e-01
1.16430605e-02, 1.73178557e-02, -5.33820033e-01
1.15629099e-02, 1.74497310e-02, -5.33719480e-01
1.14625068e-02, 1.76669601e-02, -5.33469558e-01
1.13954674e-02, 1.78327970e-02, -5.33253074e-01
1.13765877e-02, 1.78942475e-02, -5.33156931e-01
1.13386549e-02, 1.79841369e-02, -5.33043981e-01
1.13132587e-02, 1.81130059e-02, -5.32804370e-01
1.12632029e-02, 1.81011073e-02, -5.32966495e-01
1.11365030e-02, 1.86591502e-02, -5.31974137e-01
1.12378532e-02, 1.83844399e-02, -5.32358468e-01
1.12350686e-02, 1.83432456e-02, -5.32464206e-01
1.11732641e-02, 1.85191091e-02, -5.32209814e-01
1.10460389e-02, 1.87148955e-02, -5.32082856e-01
